CS Req Grade,7th CS Grade,7th CS Teacher,8th CS Grade,8th CS Teacher,PY Math Final Grade,PY Math Q4 Grade,PY Math Level,PY Math Teacher,PY Science Final Grade,PY Science Q4 Grade,PY Science Level,PY Science Teacher,PY Abs+Tardies,CY Math Q1 Grade,CY Math Level,CY Science Q1 Grade,CY Science Level,CY World Language,CY WL Level,CY Eng Level,LP Boolean,Birth Month,Number of Siblings
A+,A+,72ac003adc121f048f311bc2a993f2b7,A+,224e2d1eb3e0bf569281829a054b657a,A+,A+,Advanced,749bdd00bd97b88f1215e62588c9a041,A+,A+,Adv,1c9c10f4b94c5059415c9acb5701d0df,11,A+,Honors,A+,AP,Spanish,Honors,Honors,No,7,0
A,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,A+,Accelerated,A-,Accelerated,Spanish,Accelerated,Accelerated,No,10,2
A,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,C+,Honors,A-,Honors,Spanish,Accelerated,Honors,No,11,0
B+,A,72ac003adc121f048f311bc2a993f2b7,A+,224e2d1eb3e0bf569281829a054b657a,A,A+,Advanced,b7b7d29a1473a4b7f1b430cbe427ce2b,A,A+,Advanced,1c9c10f4b94c5059415c9acb5701d0df,14,B,Honors,B+,Honors,Spanish,Honors,Honors,No,1,0
B+,MISSING,MISSING,A,224e2d1eb3e0bf569281829a054b657a,MISSING,B+,Advanced,fbd711bc8ff930ec8d6ec7a345bedb5a,MISSING,A,Advanced,78e0349d12faea14b85cc1bdcfc72fff,13,B+,Accelerated,A-,Honors,Spanish,Accelerated,Honors,No,1,2
B+,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,B,Accelerated,B,Accelerated,Spanish,Accelerated,Accelerated,No,10,0
A,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,A,Honors,A,Honors,Spanish,Honors,Honors,No,12,1
B,D,05a6d59f91596c53dbadfc980e970b80,B,224e2d1eb3e0bf569281829a054b657a,B+,B-,CP,b7b7d29a1473a4b7f1b430cbe427ce2b,B+,B+,Accelerated,35f56104020eacfaf3a8e08f972767a4,16,C,Accelerated,A-,Accelerated,Spanish,Accelerated,Accelerated,No,8,1
A-,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,A-,Honors,A,Honors,Spanish,Honors,Accelerated,No,3,0
A,A+,05a6d59f91596c53dbadfc980e970b80,A+,224e2d1eb3e0bf569281829a054b657a,MISSING,B+,Advanced,fbd711bc8ff930ec8d6ec7a345bedb5a,MISSING,A+,Advanced,78e0349d12faea14b85cc1bdcfc72fff,11,A-,Honors,A-,Honors,Spanish,Honors,Honors,No,7,0
B,A,fbd711bc8ff930ec8d6ec7a345bedb5a,D,224e2d1eb3e0bf569281829a054b657a,MISSING,A-,Advanced,b7b7d29a1473a4b7f1b430cbe427ce2b,MISSING,B,Advanced,78e0349d12faea14b85cc1bdcfc72fff,27,C+,Accelerated,A-,Accelerated,French,Honors,Honors,No,5,0
