CS Req Grade,7th CS Grade,7th CS Teacher,8th CS Grade,8th CS Teacher,PY Math Final Grade,PY Math Q4 Grade,PY Math Level,PY Math Teacher,PY Science Final Grade,PY Science Q4 Grade,PY Science Level,PY Science Teacher,PY Abs+Tardies,CY Math Q1 Grade,CY Math Level,CY Science Q1 Grade,CY Science Level,CY World Language,CY WL Level,CY Eng Level,LP Boolean,Birth Month,Number of Siblings
IN PROGRESS,B,05a6d59f91596c53dbadfc980e970b80,A+,224e2d1eb3e0bf569281829a054b657a,B+,B+,Accelerated,aab581e8579ca378b963c0d340d3aeb5,A,A,Accelerated,35f56104020eacfaf3a8e08f972767a4,12,A+,Accelerated,B-,Accelerated,Spanish,Accelerated,Accelerated,No,1,0
IN PROGRESS,A,fbd711bc8ff930ec8d6ec7a345bedb5a,B+,224e2d1eb3e0bf569281829a054b657a,C-,C+,Standard,e7fe4d07bf3874c98ddf310611a92b37,B,B-,Standard,2a4cf78323ab2713c72c8b49b8bf5734,11,B+,CP,C,CP,Spanish,Accelerated,Accelerated,No,1,0
IN PROGRESS,MISSING,MISSING,MISSING,MISSING,A,B,Accelerated,0d405f29f22aadb1d214566d75ede017,A-,A+,Accelerated,35f56104020eacfaf3a8e08f972767a4,17,C-,Accelerated,A-,Accelerated,Spanish,Accelerated,Accelerated,No,8,0
IN PROGRESS,MISSING,MISSING,B+,22ac75bbab8b131e350cbb21a74a6237,A,A+,Accelerated,e7fe4d07bf3874c98ddf310611a92b37,A,B,Accelerated,35f56104020eacfaf3a8e08f972767a4,15,A,Accelerated,A-,Accelerated,Spanish,Honors,Accelerated,Yes,5,1
IN PROGRESS,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,C+,Honors,C+,Honors,Spanish,Honors,Honors,No,5,0
IN PROGRESS,A-,fbd711bc8ff930ec8d6ec7a345bedb5a,A-,22ac75bbab8b131e350cbb21a74a6237,A,A+,Standard,e7fe4d07bf3874c98ddf310611a92b37,B-,B+,Advanced,78e0349d12faea14b85cc1bdcfc72fff,,A+,Accelerated,B,Accelerated,Spanish,Accelerated,Accelerated,Yes,6,0
IN PROGRESS,MISSING,MISSING,MISSING,MISSING,B,B+,Honors,ce504109647211cf2e3d4f19bbbbac6b,B,A-,Honors,9c6d591ad9e3f64dcf8ba9593231af05,14,B,Honors,B-,Honors,Spanish,Accelerated,Honors,No,10,0
IN PROGRESS,MISSING,MISSING,B-,224e2d1eb3e0bf569281829a054b657a,B+,B,Accelerated,e7fe4d07bf3874c98ddf310611a92b37,B+,C+,Accelerated,35f56104020eacfaf3a8e08f972767a4,22,C+,Accelerated,A-,Accelerated,Spanish,Accelerated,Accelerated,Yes,11,3
IN PROGRESS,A+,fbd711bc8ff930ec8d6ec7a345bedb5a,A,224e2d1eb3e0bf569281829a054b657a,B+,A-,Advanced,b7b7d29a1473a4b7f1b430cbe427ce2b,A-,A,Advanced,78e0349d12faea14b85cc1bdcfc72fff,16,B,Accelerated,A-,Accelerated,Spanish,Accelerated,Accelerated,No,8,1
IN PROGRESS,A-,fbd711bc8ff930ec8d6ec7a345bedb5a,B-,22ac75bbab8b131e350cbb21a74a6237,A,A+,Standard,e7fe4d07bf3874c98ddf310611a92b37,MISSING,A-,Standard,914555dca72adc54144f3ca464553fe3,18,A-,Accelerated,B-,Accelerated,Spanish,Accelerated,Accelerated,No,10,1
