CS Req Grade,7th CS Grade,7th CS Teacher,8th CS Grade,8th CS Teacher,PY Math Final Grade,PY Math Level,PY Math Teacher,PY Science Final Grade,PY Science Level,PY Science Teacher,PY Abs+Tardies,CY Math Q1,CY Math Level,CY Science Q1,CY Science Level,CY World Language,LP Boolean,Birth Month,Number of Siblings
A+,A+,72ac003adc121f048f311bc2a993f2b7,A+,224e2d1eb3e0bf569281829a054b657a,A+,Advanced,749bdd00bd97b88f1215e62588c9a041,A+,Adv,1c9c10f4b94c5059415c9acb5701d0df,11,A+,Honors,A+,AP,Spanish,No,7,0
MISSING,,,,,,,,,,,,,,,,,,,
MISSING,,,,,,,,,,,,,,,,,,,
A,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,A+,Accelerated,A-,Accelerated,Spanish,No,10,2
A,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,C+,Honors,A-,Honors,Spanish,No,11,0
N/A,A-,fbd711bc8ff930ec8d6ec7a345bedb5a,B+,22ac75bbab8b131e350cbb21a74a6237,,,,,,,,,,,,,Yes,10,0
N/A,B,05a6d59f91596c53dbadfc980e970b80,A-,224e2d1eb3e0bf569281829a054b657a,,,,,,,,,,,,,No,3,0
B+,A,72ac003adc121f048f311bc2a993f2b7,A+,224e2d1eb3e0bf569281829a054b657a,A,Advanced,b7b7d29a1473a4b7f1b430cbe427ce2b,A,Advanced,1c9c10f4b94c5059415c9acb5701d0df,14,B,Honors,B+,Honors,Spanish,No,1,0
B+,MISSING,MISSING,A,224e2d1eb3e0bf569281829a054b657a,MISSING,Advanced,fbd711bc8ff930ec8d6ec7a345bedb5a,MISSING,Advanced,78e0349d12faea14b85cc1bdcfc72fff,13,B+,Accelerated,A-,Honors,Spanish,No,1,2
B+,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,B,Accelerated,B,Accelerated,Spanish,No,10,0
IN PROGRESS,B,05a6d59f91596c53dbadfc980e970b80,A+,224e2d1eb3e0bf569281829a054b657a,B+,Accelerated,aab581e8579ca378b963c0d340d3aeb5,A,Accelerated,35f56104020eacfaf3a8e08f972767a4,12,A+,Accelerated,B-,Accelerated,Spanish,No,1,0
A,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,A,Honors,A,Honors,Spanish,No,12,1
B,D,05a6d59f91596c53dbadfc980e970b80,B,224e2d1eb3e0bf569281829a054b657a,B+,CP,b7b7d29a1473a4b7f1b430cbe427ce2b,B+,Accelerated,35f56104020eacfaf3a8e08f972767a4,16,C,Accelerated,A-,Accelerated,Spanish,No,8,1
A-,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,A-,Honors,A,Honors,Spanish,No,3,0
IN PROGRESS,A,fbd711bc8ff930ec8d6ec7a345bedb5a,B+,224e2d1eb3e0bf569281829a054b657a,C-,Standard,e7fe4d07bf3874c98ddf310611a92b37,B,Standard,2a4cf78323ab2713c72c8b49b8bf5734,11,B+,CP,C,CP,Spanish,No,1,0
A,A+,05a6d59f91596c53dbadfc980e970b80,A+,224e2d1eb3e0bf569281829a054b657a,MISSING,Advanced,fbd711bc8ff930ec8d6ec7a345bedb5a,MISSING,Advanced,78e0349d12faea14b85cc1bdcfc72fff,11,A-,Honors,A-,Honors,Spanish,No,7,0
B,A,fbd711bc8ff930ec8d6ec7a345bedb5a,D,224e2d1eb3e0bf569281829a054b657a,MISSING,Advanced,b7b7d29a1473a4b7f1b430cbe427ce2b,MISSING,Advanced,78e0349d12faea14b85cc1bdcfc72fff,27,C+,Accelerated,A-,Accelerated,French,No,5,0
IN PROGRESS,MISSING,MISSING,MISSING,MISSING,A,Accelerated,0d405f29f22aadb1d214566d75ede017,A-,Accelerated,35f56104020eacfaf3a8e08f972767a4,17,C-,Accelerated,A-,Accelerated,Spanish,No,8,0
C,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,B+,CP,B-,CP,Spanish,No,1,0
MISSING,,,,,,,,,,,,,,,,,,,
IN PROGRESS,MISSING,MISSING,B+,22ac75bbab8b131e350cbb21a74a6237,A,Accelerated,e7fe4d07bf3874c98ddf310611a92b37,A,Accelerated,35f56104020eacfaf3a8e08f972767a4,15,A,Accelerated,A-,Accelerated,Spanish,Yes,5,1
B-,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,B,Honors,F,Honors,Spanish,No,3,0
N/A,,,,,,,,,,,,,,,,,,1,
N/A,,,,,,,,,,,,,,,,,,12,
B-,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,C,Accelerated,A-,Accelerated,Spanish,No,5,0
B,MISSING,MISSING,C,224e2d1eb3e0bf569281829a054b657a,MISSING,Standard,b7b7d29a1473a4b7f1b430cbe427ce2b,MISSING,Standard,914555dca72adc54144f3ca464553fe3,27,A-,Accelerated,C-,Accelerated,Spanish,No,4,0
B+,MISSING,MISSING,MISSING,MISSING,A-,Accelerated,0d405f29f22aadb1d214566d75ede017,A,Accelerated,35f56104020eacfaf3a8e08f972767a4,7,B+,Accelerated,A,Accelerated,Spanish,Yes,4,1
B+,A-,72ac003adc121f048f311bc2a993f2b7,A,224e2d1eb3e0bf569281829a054b657a,B+,Advanced,b7b7d29a1473a4b7f1b430cbe427ce2b,A-,Standard,914555dca72adc54144f3ca464553fe3,7,A-,Acclerated,B+,Honors,Spanish,No,MISSING,2
N/A,,,,,,,,,,,,,,,,,,11,
B,MISSING,MISSING,C+,224e2d1eb3e0bf569281829a054b657a,MISSING,Standard,a0b44aea6f8515d0a4475db5d1cd2dfb,MISSING,Standard,914555dca72adc54144f3ca464553fe3,16,B,Accelerated,B,Accelerated,Spanish,No,8,0
N/A,,,,,,,,,,,,,,,,,,8,
IN PROGRESS,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,C+,Honors,C+,Honors,Spanish,No,5,0
N/A,,,,,,,,,,,,,,,,,,5,
C+,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,C+,CP,B,CP,Spanish,No,8,1
IN PROGRESS,,,,,,,,,,,,A+,Accelerated,B,Accelerated,Spanish,Yes,6,0
B,B,72ac003adc121f048f311bc2a993f2b7,C+,224e2d1eb3e0bf569281829a054b657a,B-,Advanced,b7b7d29a1473a4b7f1b430cbe427ce2b,B-,Standard,914555dca72adc54144f3ca464553fe3,12,B-,Accelerated,B-,Accelerated,French,No,3,0
A,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,A-,Accelerated,B,Accelerated,Spanish,No,10,0
A,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,A+,Honors,A,Honors,Spanish,Yes,12,0
N/A,,,,,,,,,,,,,,,,,,10,
A,B-,72ac003adc121f048f311bc2a993f2b7,A-,224e2d1eb3e0bf569281829a054b657a,B,Advanced,b7b7d29a1473a4b7f1b430cbe427ce2b,B+,Standard,914555dca72adc54144f3ca464553fe3,15,A-,Accelerated,A+,Accelerated,Spanish,No,7,0
B,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,B+,Accelerated,D,Honors,None,No,1,0
A,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,A-,Honors,A-,Honors,French,No,8,1
B+,C+,05a6d59f91596c53dbadfc980e970b80,A,224e2d1eb3e0bf569281829a054b657a,MISSING,Advanced,b7b7d29a1473a4b7f1b430cbe427ce2b,MISSING,Standard,914555dca72adc54144f3ca464553fe3,15,B+,Honors,A,Honors,Spanish,No,6,0
N/A,,,,,,,,,,,,,,,,,,4,
A-,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,A,Accelerated,A-,Honors,Spanish,No,9,0
N/A,,,,,,,,,,,,,,,,,,8,
IN PROGRESS,MISSING,MISSING,MISSING,MISSING,B,Honors,ce504109647211cf2e3d4f19bbbbac6b,B,Honors,9c6d591ad9e3f64dcf8ba9593231af05,14,B,Honors,B-,Honors,Spanish,No,10,0
A,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,A+,Honors,A+,AP,French,No,7,0
IN PROGRESS,MISSING,MISSING,B-,224e2d1eb3e0bf569281829a054b657a,B+,Accelerated,e7fe4d07bf3874c98ddf310611a92b37,B+,Accelerated,35f56104020eacfaf3a8e08f972767a4,22,C+,Accelerated,A-,Accelerated,Spanish,Yes,11,3
N/A,,,,,,,,,,,,,,,,,,2,
A-,MISSING,MISSING,A,224e2d1eb3e0bf569281829a054b657a,B+,Advanced,b7b7d29a1473a4b7f1b430cbe427ce2b,B+,Standard,914555dca72adc54144f3ca464553fe3,20,B,Honors,B+,Honors,Spanish,No,5,0
B,B,fbd711bc8ff930ec8d6ec7a345bedb5a,C,224e2d1eb3e0bf569281829a054b657a,D,Advanced,b7b7d29a1473a4b7f1b430cbe427ce2b,B,Standard,2a4cf78323ab2713c72c8b49b8bf5734,41,B+,Accelerated,B-,Accelerated,Spanish,No,2,1
A-,A-,72ac003adc121f048f311bc2a993f2b7,A+,224e2d1eb3e0bf569281829a054b657a,B+,Advanced,b7b7d29a1473a4b7f1b430cbe427ce2b,B+,Advanced,36dcbf54d4ff3082f4d88e5d5fcf1cf9,7,B-,Accelerated,A,Honors,Spanish,No,1,0
IN PROGRESS,A+,fbd711bc8ff930ec8d6ec7a345bedb5a,A,224e2d1eb3e0bf569281829a054b657a,B+,Advanced,b7b7d29a1473a4b7f1b430cbe427ce2b,A-,Advanced,78e0349d12faea14b85cc1bdcfc72fff,16,B,Accelerated,A-,Accelerated,Spanish,No,8,1
IN PROGRESS,A-,fbd711bc8ff930ec8d6ec7a345bedb5a,B-,22ac75bbab8b131e350cbb21a74a6237,A,Standard,e7fe4d07bf3874c98ddf310611a92b37,MISSING,Standard,914555dca72adc54144f3ca464553fe3,18,A-,Accelerated,B-,Accelerated,Spanish,No,10,1
N/A,,,,,,,,,,,,,,,,,,6,
N/A,,,,,,,,,,,,,,,,,,6,
A,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,A+,Accelerated,A-,Honors,Spanish,No,10,2
N/A,,,,,,,,,,,,,,,,,,1,
IN PROGRESS,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,C-,Accelerated,F,Accelerated,Spanish,Yes,8,0
A+,A,72ac003adc121f048f311bc2a993f2b7,A+,224e2d1eb3e0bf569281829a054b657a,A+,Advanced,b7b7d29a1473a4b7f1b430cbe427ce2b,A,Advanced,36dcbf54d4ff3082f4d88e5d5fcf1cf9,13,A-,Honors,A,Honors,French,No,10,0
A,B-,72ac003adc121f048f311bc2a993f2b7,A,224e2d1eb3e0bf569281829a054b657a,C,Advanced,b7b7d29a1473a4b7f1b430cbe427ce2b,B-,Standard,914555dca72adc54144f3ca464553fe3,12,A,Accelerated,C,Accelerated,Spanish,No,8,1
N/A,,,,,,,,,,,,,,,,,,2,
IN PROGRESS,MISSING,MISSING,B+,22ac75bbab8b131e350cbb21a74a6237,A-,Advanced,b7b7d29a1473a4b7f1b430cbe427ce2b,B+,Advanced,78e0349d12faea14b85cc1bdcfc72fff,64,B,Honors,B,AP,French,No,3,0
IN PROGRESS,A,fbd711bc8ff930ec8d6ec7a345bedb5a,A+,224e2d1eb3e0bf569281829a054b657a,A-,Advanced,b7b7d29a1473a4b7f1b430cbe427ce2b,A,Advanced,78e0349d12faea14b85cc1bdcfc72fff,9,A-,Honors,A,AP,Spanish,No,2,0
C+,B-,72ac003adc121f048f311bc2a993f2b7,B+,224e2d1eb3e0bf569281829a054b657a,B,Advanced,b7b7d29a1473a4b7f1b430cbe427ce2b,B+,Advanced,36dcbf54d4ff3082f4d88e5d5fcf1cf9,11,B-,Honors,B,Accelerated,Spanish,No,8,1
MISSING,,,,,,,,,,,,,,,,,,,
N/A,,,,,,,,,,,,,,,,,,9,
IN PROGRESS,B+,05a6d59f91596c53dbadfc980e970b80,A+,224e2d1eb3e0bf569281829a054b657a,B-,Honors,ce504109647211cf2e3d4f19bbbbac6b,B- ,Honors,e42192248e9b180c137d77a5ad1265d0,4,A-,Honors,A-,Honors,Spanish,No,1,1
B+,MISSING,MISSING,A+,224e2d1eb3e0bf569281829a054b657a,A,Accelerated,e7fe4d07bf3874c98ddf310611a92b37,A,Accelerated,35f56104020eacfaf3a8e08f972767a4,9,B,Accelerated,A,Accelerated,Spanish,Yes,2,0
A,C,72ac003adc121f048f311bc2a993f2b7,C-,224e2d1eb3e0bf569281829a054b657a,C,Advanced,b7b7d29a1473a4b7f1b430cbe427ce2b,B,Standard,914555dca72adc54144f3ca464553fe3,21,A-,Accelerated,A-,Accelerated,Spanish,No,3,1
N/A,,,,,,,,,,,,,,,,,,2,
C,MISSING,MISSING,B-,224e2d1eb3e0bf569281829a054b657a,MISSING,Standard,a0b44aea6f8515d0a4475db5d1cd2dfb,MISSING,Standard,8783596053641c2d85f4efe80ba2b30f,11,C+,CP,C,CP,French,No,10,1
N/A,,,,,,,,,,,,,,,,,,6,
B+,MISSING,MISSING,A-,224e2d1eb3e0bf569281829a054b657a,MISSING,Advanced,b7b7d29a1473a4b7f1b430cbe427ce2b,MISSING,Standard,914555dca72adc54144f3ca464553fe3,12,B,Honors,B+,Honors,Spanish,No,MISSING,1
B+,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,B+,Honors,B-,Honors,Spanish,No,10,0
